id,Age,Department,JobRole,Gender,Attrition,MonthlyIncome,PerformanceRating,YearsAtCompany
0,35,Human Resources,Laboratory Technician,Male,0,2596,3,10
1,35,Sales,Sales Representative,Unknown,0,2899,3,4
2,32,Sales,Sales Executive,Male,0,4627,3,3
3,38,IT,Healthcare Representative,Female,0,5347,3,6
5,27,Research & Development,Manufacturing Director,Female,0,4197,3,1
6,34,Research & Development,Laboratory Technician,Male,0,1281,3,1
7,40,Research & Development,Laboratory Technician,Male,0,3067,3,3
8,51,Sales,Sales Executive,Male,0,6439,3,16
9,25,Research & Development,Laboratory Technician,Female,0,2741,3,9
10,35,Research & Development,Research Scientist,Female,0,2691,4,10
11,29,Research & Development,Manufacturing Director,Female,0,8628,3,9
12,38,Research & Development,Research Scientist,Female,0,3280,3,2
13,48,Research & Development,Research Scientist,Male,0,2387,3,7
14,35,IT,Research Scientist,Male,0,3102,3,5
15,39,Research & Development,Research Scientist,Male,0,4449,4,20
16,33,Research & Development,Research Scientist,Female,0,2539,3,2
17,35,Research & Development,Manufacturing Director,Female,0,7441,3,10
19,25,Research & Development,Manufacturing Director,Female,0,4374,3,5
20,30,Research & Development,Research Scientist,Male,0,2413,3,10
21,50,Research & Development,Laboratory Technician,Male,0,2436,3,5
23,43,Sales,Research Scientist,Male,0,3312,3,2
24,29,Sales,Sales Executive,Female,1,4373,3,5
25,29,Research & Development,Manufacturing Director,Female,0,4834,4,1
27,29,IT,Sales Executive,Male,0,5296,3,10
28,26,Research & Development,Research Scientist,Female,0,2389,3,2
29,24,Human Resources,Sales Representative,Male,0,9396,3,1
30,41,Research & Development,Healthcare Representative,Male,0,6142,3,5
31,34,Research & Development,Laboratory Technician,Male,0,4490,3,9
32,35,IT,Sales Executive,Male,0,5228,3,9
33,47,Research & Development,Manufacturing Director,Male,0,5562,3,13
34,31,Human Resources,Human Resources,Male,0,5745,3,10
35,56,Research & Development,Laboratory Technician,Male,0,3780,3,0
36,38,Human Resources,Sales Executive,Female,0,9985,3,9
37,38,Research & Development,Laboratory Technician,Unknown,0,3780,3,5
38,33,Research & Development,Manufacturing Director,Female,0,6949,3,13
40,27,Research & Development,Laboratory Technician,Female,1,2398,4,1
41,52,Sales,Sales Executive,Female,0,12965,3,8
42,36,Human Resources,Laboratory Technician,Female,0,2018,3,1
43,31,Sales,Sales Representative,Male,1,2853,4,0
44,35,Research & Development,Laboratory Technician,Female,0,2795,3,16
45,35,Research & Development,Manufacturing Director,Male,0,5744,3,3
46,46,Research & Development,Manufacturing Director,Female,0,10932,3,4
47,29,Human Resources,Research Director,Male,1,12169,3,10
48,18,Research & Development,Laboratory Technician,Female,1,1611,3,0
49,27,Sales,Sales Executive,Female,0,9714,3,5
50,41,Research & Development,Laboratory Technician,Unknown,0,2836,3,10
51,35,Research & Development,Research Scientist,Female,0,4787,3,3
52,35,Sales,Sales Executive,Female,0,8321,3,6
53,33,Sales,Sales Representative,Male,0,3057,3,0
54,34,Research & Development,Research Scientist,Male,0,2132,3,1
55,34,Research & Development,Research Scientist,Male,0,2468,3,2
56,37,Research & Development,Laboratory Technician,Male,0,3441,3,3
57,44,Research & Development,Laboratory Technician,Female,0,4724,3,10
58,28,Research & Development,Research Scientist,Female,0,2683,3,6
59,29,Sales,Sales Representative,Male,1,2379,3,2
60,38,Research & Development,Research Scientist,Male,0,2544,3,8
61,27,Research & Development,Research Scientist,Male,0,2362,3,6
62,39,Sales,Sales Executive,Male,0,13194,3,0
63,35,Sales,Sales Executive,Female,0,5605,3,11
